11115016545 |000117698_0_000363_1_Monuments religieux  militaires et civils des Deux Se vres     Seconde e dition _1876.jpg|
11115204603 |003933396_0_000278_1_The Pacific Tourist  Williams s Illustrated Trans Continental Guide of travel fr_1876.jpg|
11115204073 |003055001_0_000194_1_Nouvelle Ge ographie universelle  La Terre et les hommes     Cartes et     gravu_1876.jpg|
11115074954 |003221218_0_000009_1_La fregate l Incomprise  Voyage autour du monde a  la plume par Sahib  [With ill_1876.jpg|
11115203413 |003055002_16_000039_1_Nouvelle Ge ographie universelle  La terre et les hommes  [With illustrations ]_1876.jpg|
11115013945 |001504704_0_000529_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg|
11115201603 |003695989_0_000127_1_The Centennial Northwest  An illustrated history of the Northwest      to the pr_1876.jpg|
11115013125 |003091868_0_000257_1_[Histoire de la Pre sidence de M  Thiers  livr  1 42 ]_1876.jpg|
11115011895 |004000334_0_000127_1_Wife No  19  or the story of a life in bondage  being a complete expose of Mormo_1876.jpg|
11115200153 |001504704_0_000455_1_Ge ographie ge ne rale  physique  politique et e conomique      Avec     cartes _1876.jpg|
11115053766 |001974025_0_000277_1_The World at Home  etc_1876.jpg|
11115070754 |000079249_0_000008_1_Mandalay to Momien  a narrative of the two Expeditions to Western China of 1868 _1876.jpg|
11115198293 |003110131_02_000193_1_Life and Discoveries of David Livingstone     with     wood engravings  etc  The_1876.jpg|
11115070014 |001520064_0_000233_1_Tyrol and the Tyrolese  the people and the land in their social  sporting  and m_1876.jpg|
11115008835 |001631486_0_000130_1_Reminiscences of Fen and Mere_1876.jpg|
11115051286 |002263901_0_000735_1_The American Centenary  a history of the progress of the Republic of the United _1876.jpg|
11115067614 |003055001_0_000934_1_Nouvelle Ge ographie universelle  La Terre et les hommes     Cartes et     gravu_1876.jpg|
11115050216 |001063696_0_000075_1_Portland and vicinity  Illustrated_1876.jpg|
11115251333 |000305730_0_000092_1_[The World s Inhabitants  or  Mankind  animals   plants     With     illustrations  etc ]_1890.jpg|
11115123314 |003274905_0_000053_1_Nervi und seine Umgebungen  Ein Handbuch fu r Gesunde und Kranke     Der botanische Theil  Einblick in die Vegetation von Nervi  von V  Fayod  etc_1890.jpg|
11115123254 |003226156_0_000016_1_La Seine a  travers Paris  Illustre e de     dessins     et de     compositions en couleurs par G  Fraipont_1890.jpg|
11115250693 |000263675_0_000011_1_Le Pays des Pharaons  [With illustrations ]_1890.jpg|
11115105316 |003414639_03_000026_1_The Riddle of Lawrence Haviland  A novel_1890.jpg|
11115250653 |000002921_0_000309_1_                                                           etc_1890.jpg|
11115250113 |001235829_0_000262_2_Norman Reid  M  A  [A tale ]_1890.jpg|
11115104806 |001930912_0_000218_2_The Witness Box  or  the murder of Mr  A  B  C   [A novel ] Seventh thousand  _1890.jpg|
11115104566 |001720046_0_000815_1_Von der Capstadt ins Land der Maschukulumbe  Reisen im su dlichen Afrika in den Jahren 1883 1887     Mit 205 Original Holzschnitten  etc_1890.jpg|
11115121484 |002212569_0_000631_3_Orient Line Guide     Fourth edition  revised  with maps and plans  Edited    by W  J  L_1890.jpg|
11115103816 |000915783_03_000048_1_A Daughter of the Pyramids_1890.jpg|
11115060465 |003694128_0_000152_1_Picnic  an illustrated guide to Ilfracombe and North Devon  with notes on Lynmouth  Clovelly  Lundy  etc_1890.jpg|
11115120954 |000078740_0_000357_1_Handbook to the Highland Railway     Season 1890  Ninth edition [of the work by G  and P  Anderson]  Revised and enlarged  By P  J  Anderson_1890.jpg|
11115248753 |004001624_0_000103_1_A Winter Tour in South Africa  etc_1890.jpg|
11115059935 |000490292_01_000181_1_Alas  A novel_1890.jpg|
11115120254 |001423178_0_000088_1_The Student s Geography     With     maps  etc_1890.jpg|
11115247873 |000760395_0_000120_1_Histoire de Saint Chamond et de la seigneurie de Jarez depuis les temps les plus recule s jusqu a  nos jours_1890.jpg|
11115120034 |000263675_0_000358_1_Le Pays des Pharaons  [With illustrations ]_1890.jpg|
11115119604 |001823010_0_000021_1_Prisoners of War and Military Prisons  Personal narratives     With a general ac_1890.jpg|
11115102216 |002035443_0_000270_1_Gems and Precious Stones of North America  A popular description of their occurr_1890.jpg|
11115058665 |001465074_0_000009_1_Budapest to rte nete     Ma sodik olcso  e s ke pekkel diszitett kiada s_1890.jpg|
11115246693 |001432464_01_000115_1_The Emancipated  A novel_1890.jpg|
11115118894 |000928320_0_000050_1_Expedic a o portugueza ao Muatia nvua  Ethnographia e historia tradicional dos povos da Lunda     Edic a o illustrada por H  Casanova  [With plates and maps ]_1890.jpg|
11115101546 002306933_0_000189_1_Bennachie_1890.jpg
11115057685 |002802701_0_000067_1_The Annals of the Parish of Swainswick  etc_1890.jpg|
11115245903 |001769127_0_000507_1_Hungary  [A guide book  By several authors ] With     illustrations  etc_1890.jpg|
11115245573 |000129019_01_000135_1_Social England under the Regency     With     illustrations_1890.jpg|
11115245143 |001882443_0_000003_1_Sir John of Lenahall  [In verse ]_1890.jpg|
11115244773 |001671636_01_000162_1_Mexico  Land und Leute  Reisen auf neuen Wegen durch das Aztekenland       Mit     Abbildungen  und einer Generalkarte Mexicos_1890.jpg|
11115244993 |002515403_0_000179_1_Un Viaggio a Ni as     Illustrato da     incisioni     e     carte geografiche  etc_1890.jpg|
11115117024 |000446325_0_000306_1_Musings in Maoriland     [In verse ] With an historical sketch by Sir Robert Stout and preface by Sir George Grey  Illustrated  etc_1890.jpg|
11115056235 |000854137_0_000056_1_The Cruise of the Royal Mail Steamer Dunottar Castle round Scotland on her trial trip_1890.jpg|
11115243963 |000760395_0_000735_2_Histoire de Saint Chamond et de la seigneurie de Jarez depuis les temps les plus recule s jusqu a  nos jours_1890.jpg|
11115244093 |001461218_0_000047_2_Nilfahrt  Mit     Illustrationen     von R  Mainella_1890.jpg|
11115115944 |000566643_0_000084_1_Des Batignolles au Bosphore_1890.jpg|
11115243323 |002367083_01_000046_2_One Another s Burdens  [A novel ]_1890.jpg|
11115054835 |003848687_0_000064_1_[Ely Cathedral ] Ward and Lock s Illustrated Historical Handbook to Ely Cathedral  With notices of its monastic buildings  etc_1890.jpg|
11115054255 |001235829_0_000231_1_Norman Reid  M  A  [A tale ]_1890.jpg|
11115114844 |001769127_0_000530_1_Hungary  [A guide book  By several authors ] With     illustrations  etc_1890.jpg|
11115114184 |001421224_0_000011_1_Songs of a Savoyard  [Lyrics from the operas by W  S  Gilbert  performed at the Savoy Theatre ]     Illustrated by the author_1890.jpg|
11115114164 |002326471_0_000053_1_The Story of Johnstown     Illustrated  etc_1890.jpg|
11115114004 |000566643_0_000345_1_Des Batignolles au Bosphore_1890.jpg|
11115241413 |000566643_0_000154_1_Des Batignolles au Bosphore_1890.jpg|
11115052785 |002398924_02_000105_1_An Australian girl  [By C  Martin ]_1890.jpg|
11115241233 |000928320_0_000229_1_Expedic a o portugueza ao Muatia nvua  Ethnographia e historia tradicional dos povos da Lunda     Edic a o illustrada por H  Casanova  [With plates and maps ]_1890.jpg|
11115240763 |001423178_0_000270_1_The Student s Geography     With     maps  etc_1890.jpg|
11115112994 |000078740_0_000014_1_Handbook to the Highland Railway     Season 1890  Ninth edition [of the work by G  and P  Anderson]  Revised and enlarged  By P  J  Anderson_1890.jpg|
11115052225 |002557392_0_000070_1_A Visit to the Transvaal  Barberton  Johannesberg and back     With a map_1890.jpg|
11115051685 |000715475_0_000014_1_The Austral Edition of the Selected Works of Marcus Clarke  together with a biography and monograph of the deceased author  compiled and edited by Hamilton Mackinnon  [With portraits ]_1890.jpg|
11115095216 |001435121_0_000008_2_The Union Steamship Co  s edition of Glanville s Guide to South Africa  includin_1890.jpg|
11115239933 |000409958_0_000186_1_Ablon sur Seine  Recherches historiques     Eaux fortes de     P  Gillard  etc_1890.jpg|
11115050945 |000044627_11_000275_2_The Aldine  O er Land and Sea   Library_1890.jpg|
11115051005 |003694128_0_000080_1_Picnic  an illustrated guide to Ilfracombe and North Devon  with notes on Lynmouth  Clovelly  Lundy  etc_1890.jpg|
11115094336 |002480628_0_000035_1_Venetia anticha   Officj e Regimenti che si fa  pel Maggior Consiglio si in Venetia come in mar e  terra ferma e per tutto el suo Stado e Prima   [Compiled by F  Miari ]_1890.jpg|
11115238943 |003692744_0_000231_1_Winning her Way  or  Left in Difficulties  [A tale ]_1890.jpg|
11115093756 |004006209_0_000585_1_Kongo Fahrten  [In verse ] Von Z    _1890.jpg|
11115238703 |001423178_0_000586_1_The Student s Geography     With     maps  etc_1890.jpg|
11115049755 |003844992_0_000077_1_In Tennyson Land  Being a brief account of the home and early surroundings of the Poet Laureate     With twelve plates_1890.jpg|
11115109754 |001214492_0_000174_2_In Fellowship  or  the possibilities of influence  [A story ] By the author of  Brotherhood  _1890.jpg|
11115049665 |001680261_0_000178_1_Notes by the Way  or  what I saw in my rambles_1890.jpg|
11115092166 |001493781_0_000089_1_Where to spend a Half Holiday  One hundred and eighty pleasant walks around Bradford     Illustrated_1890.jpg|
11115237403 |000044627_40_000344_1_The Aldine  O er Land and Sea   Library_1890.jpg|
11115091916 |002367083_01_000045_1_One Another s Burdens  [A novel ]_1890.jpg|
11115236813 |002706356_01_000162_1_[Cassell s Illustrated History of the Russo Turkish War  etc ]_1890.jpg|
11115048415 |000886231_0_000110_1_Betrayed by a Shadow  [A novel ]_1890.jpg|
11115236523 |002400049_0_000018_1_ Under the Gum Tree   Australian  Bush  Stories     Edited by Mrs  H  P  M   Seventh thousand  _1890.jpg|
11115107884 |003984874_0_000129_1_Tossed About  or  Through strange adventures to fortune_1890.jpg|
11115107754 |000879217_0_000005_1_ For so Little   The story of a crime_1890.jpg|
11115235763 |000928320_0_000398_1_Expedic a o portugueza ao Muatia nvua  Ethnographia e historia tradicional dos povos da Lunda     Edic a o illustrada por H  Casanova  [With plates and maps ]_1890.jpg|
11115047125 |001604445_0_000160_1_[Memorable London Houses  a handy guide  with     anecdotes and a reference plan     With     original illustrations from drawings made     by G  N  Martin ]_1890.jpg|
11115107024 |001269510_0_000012_1_Le vieux Lyon qui s en va  Quartier Gro le e  Texte et eaux fortes par Forest Fleury_1890.jpg|
11115234913 |003471490_0_000260_2_Exiles of Fortune  A tale of a far north land_1890.jpg|
11115089196 |001748058_0_000187_2_The Metallurgy of Steel  Vol  1_1890.jpg|
11115046325 |001461218_0_000285_1_Nilfahrt  Mit     Illustrationen     von R  Mainella_1890.jpg|
11115106054 |001913884_02_000039_1_Travels in Africa during the years 1875 1878  1879 1883 1882 1886      Translated from the German by A  H  Keane     Illustrated_1890.jpg|
11115045625 |002069462_0_000021_1_Ballads of the Brave  Poems of chivalry     courage and constancy     Selected and arranged by F  L      With notes_1890.jpg|
11115045115 |001215667_0_000165_1_A Fluttered Dovecote  [A novel ]     With illustrations by Gordon Browne_1890.jpg|
11115045065 |003761400_0_000583_1_La Sainte Russie  la cour  l arme e     et le peuple  Ouvrage contenant     chromolithographies et     gravures  etc_1890.jpg|
11115044915 |001954648_0_000024_1_Rollica Reed  [A tale ]     Illustrated  etc_1890.jpg|
11115086756 |003478854_0_000987_1_Stanley in Afrika s donkere wildernissen  etc  [Translated from  In Darkest Afrika  by H  Tiedeman ]_1890.jpg|
11115044455 |001461218_0_000117_12_Nilfahrt  Mit     Illustrationen     von R  Mainella_1890.jpg|
11115232633 |002302126_0_000012_1_New Monkland Parish  its history  industries  and people     With numerous portraits and prints from photographs_1890.jpg|
11115043805 |000760395_0_000125_1_Histoire de Saint Chamond et de la seigneurie de Jarez depuis les temps les plus recule s jusqu a  nos jours_1890.jpg|
11115103694 |001604445_0_000129_1_[Memorable London Houses  a handy guide  with     anecdotes and a reference plan     With     original illustrations from drawings made     by G  N  Martin ]_1890.jpg|
11115103434 |001493782_0_000066_1_Where to spend a Half Holiday  Pleasant walks around Bingley  Baildon     With a notice of Bradford  etc_1890.jpg|
11115085936 |000605981_02_000122_1_Lover or Friend _1890.jpg|
11115042805 |001461218_0_000148_4_Nilfahrt  Mit     Illustrationen     von R  Mainella_1890.jpg|
11115085076 |003478856_02_000307_2_Im dunkelsten Afrika     Aus dem Englischen von H  von Wobeser  etc_1890.jpg|
11115230643 |003274905_0_000030_1_Nervi und seine Umgebungen  Ein Handbuch fu r Gesunde und Kranke     Der botanische Theil  Einblick in die Vegetation von Nervi  von V  Fayod  etc_1890.jpg|
11115102074 |001006245_0_000391_1_A Social Departure  how Orthodocia and I went round the world by ourselves     With     illustrations  etc  [Reprinted from  The Lady s Pictorial  ]_1890.jpg|
11115041355 |002527933_0_000009_1_Des Andes au Para  E quateur  Pe rou  Amazone     Dessins de G  Profit_1890.jpg|
11115229323 |000091145_0_000099_1_Voices of the Wind  stories and allegories_1890.jpg|
11115083736 |000928320_0_000598_1_Expedic a o portugueza ao Muatia nvua  Ethnographia e historia tradicional dos povos da Lunda     Edic a o illustrada por H  Casanova  [With plates and maps ]_1890.jpg|
11115101274 |000210133_0_000081_1_The City of Dundee illustrated  containing reminiscences and remarks     relatin_1890.jpg|
11115100994 |002251621_0_000163_2_[Modern London  the World s Metropolis  An epitome of results  Business Men and Commercial Interests  Wealth and Growth  etc ]_1890.jpg|
11115083056 |000615204_0_000142_1_Del Atla ntico al Paci fico y un Argentino en Europa  Cartas de viaje  etc_1890.jpg|
11115082746 002466713_01_000153_1_Suspense_1890.jpg
11115100344 |002302126_0_000431_4_New Monkland Parish  its history  industries  and people     With numerous portraits and prints from photographs_1890.jpg|
11115082176 |002256592_0_000365_1_Histoire de la ville d Issoire_1890.jpg|
11115227413 |003897867_0_000036_2_Where to buy at Weston super Mare  An illustrated local trades  review  By the Editor of the  Agents  Guide      with illustrations of the West of England_1890.jpg|
11115081466 |001423178_0_000381_1_The Student s Geography     With     maps  etc_1890.jpg|
11115099314 |000554690_0_000017_1_Zig zag Journeys in the British Isles     Fully illustrated_1890.jpg|
11115226793 |002441148_0_000228_1_Just a Love Story     Illustrated_1890.jpg|
11115098774 |003220952_0_000266_1_Notizie storiche di Broni     con cenni relativi ai dintorni e particolarmente ai comuni di Stradella e di Barbianello_1890.jpg|
11115038365 |001461218_0_000139_1_Nilfahrt  Mit     Illustrationen     von R  Mainella_1890.jpg|
11115037945 |003848648_0_000040_1_[Carlisle Cathedral ] Ward and Lock s Illustrated Historical Handbook to Carlisle Cathedral  etc_1890.jpg|
11115080176 |003499688_0_000469_1_The Universal Mining Code for the use of mining companies  mining engineers     The Code words specially selected to comply with the Telegraph Convention rules  by G  Ager_1890.jpg|
11115098174 |001820534_0_000024_1_A Class Book of Geography      for intermediate and senior pupils_1890.jpg|
11115037185 |000760395_0_000639_1_Histoire de Saint Chamond et de la seigneurie de Jarez depuis les temps les plus recule s jusqu a  nos jours_1890.jpg|
11115225123 |003478859_0_000920_1_Nell Africa tenebrosa     Traduzione     di A  Massoni  etc_1890.jpg|
11115079516 |000566643_0_000250_1_Des Batignolles au Bosphore_1890.jpg|
11115224563 |000566643_0_000055_1_Des Batignolles au Bosphore_1890.jpg|
11115078996 |001765434_0_000012_1_The Gentleman who vanished  A psychological phantasy_1890.jpg|
11115224403 |001864717_0_000032_1_Der Schwarzwald     Mit Illustrationen von W  Hasemann  etc_1890.jpg|
11115036175 |001493781_0_000166_1_Where to spend a Half Holiday  One hundred and eighty pleasant walks around Bradford     Illustrated_1890.jpg|
11115223933 |000446325_0_000171_1_Musings in Maoriland     [In verse ] With an historical sketch by Sir Robert Stout and preface by Sir George Grey  Illustrated  etc_1890.jpg|
11115223833 |002530019_0_000256_1_Camp and Studio  [With illustrations by the author ]_1890.jpg|
11115035565 |000210133_0_000139_2_The City of Dundee illustrated  containing reminiscences and remarks     relatin_1890.jpg|
11115095444 |000928320_0_000798_1_Expedic a o portugueza ao Muatia nvua  Ethnographia e historia tradicional dos povos da Lunda     Edic a o illustrada por H  Casanova  [With plates and maps ]_1890.jpg|
11115095094 |000760395_0_000760_1_Histoire de Saint Chamond et de la seigneurie de Jarez depuis les temps les plus recule s jusqu a  nos jours_1890.jpg|
11115095164 |000715475_0_000246_1_The Austral Edition of the Selected Works of Marcus Clarke  together with a biography and monograph of the deceased author  compiled and edited by Hamilton Mackinnon  [With portraits ]_1890.jpg|
11115222303 |000889791_0_000073_1_[Sarah Deck s Victory  By the author of  Somebody and Nobody  [i e  Mary Louisa Searle]  etc ]_1890.jpg|
11115222163 |000928319_05_000330_1_Expedic a o portugueza ao Muatia nvua  Descripc a o da viagem a  Mussumba do Muatia nvua     Edic a o illustrada por H  Casanova  [With plates  including portraits and maps ] vol  1 3_1890.jpg|
11115033925 |003756325_0_000271_1_Au pays de Notre Seigneur  Etudes et impressions d un pe lerin_1890.jpg|
11115093974 |003471490_0_000287_1_Exiles of Fortune  A tale of a far north land_1890.jpg|
11115033405 |000854137_0_000094_2_The Cruise of the Royal Mail Steamer Dunottar Castle round Scotland on her trial trip_1890.jpg|
11115033175 |000225578_0_000370_1_Picturesque Dunedin     With a short historical account of the city     Edited by A  Bathgate  With illustrations_1890.jpg|
11115075726 |003848654_0_000054_1_[Chichester Cathedral ] Ward and Lock s Illustrated Historical Handbook to Chichester Cathedral  etc_1890.jpg|
11115032855 |001493781_0_000061_1_Where to spend a Half Holiday  One hundred and eighty pleasant walks around Bradford     Illustrated_1890.jpg|
11115092514 |001683847_0_000112_1_Guide to McBryde s River and Sea Trips from Plymouth     With     map and illustrations  First edition_1890.jpg|
11115075006 |003652261_0_000190_1_Through David s Realm     With     illustrations by the author_1890.jpg|
11115074906 |001421224_0_000088_1_Songs of a Savoyard  [Lyrics from the operas by W  S  Gilbert  performed at the Savoy Theatre ]     Illustrated by the author_1890.jpg|
11115219663 |003678808_01_000267_1_Madame Leroux  [A novel ]_1890.jpg|
11115219443 |001026231_0_000306_1_The History of the Ancient Parish of Sandbach  Co  Chester  including the two Chapelries of Holmes Chapel and Goostrey  etc_1890.jpg|
11115219263 |000913820_0_000007_1_The Uncollected Writings of Thomas De Quincey  With a preface and annotations by James Hogg_1890.jpg|
11115091144 |000033323_0_000135_1_Guide to North of Ireland  Giant s Causeway and Belfast  with history of Belfast_1890.jpg|
11115218833 |002515403_0_000661_2_Un Viaggio a Ni as     Illustrato da     incisioni     e     carte geografiche  etc_1890.jpg|
11115073666 |001215667_0_000134_1_A Fluttered Dovecote  [A novel ]     With illustrations by Gordon Browne_1890.jpg|
11115030625 |001214492_0_000387_1_In Fellowship  or  the possibilities of influence  [A story ] By the author of  Brotherhood  _1890.jpg|
11115073166 |002212569_0_000044_4_Orient Line Guide     Fourth edition  revised  with maps and plans  Edited    by W  J  L_1890.jpg|
11115090284 |000566643_0_000021_1_Des Batignolles au Bosphore_1890.jpg|
11115089904 |004001624_0_000089_1_A Winter Tour in South Africa  etc_1890.jpg|
11115217623 |002400049_0_000059_1_ Under the Gum Tree   Australian  Bush  Stories     Edited by Mrs  H  P  M   Seventh thousand  _1890.jpg|
11115029645 |001606235_01_000102_1_Two English Girls  [A novel ]_1890.jpg|
11115217113 |001215667_0_000274_1_A Fluttered Dovecote  [A novel ]     With illustrations by Gordon Browne_1890.jpg|
11115088724 |003848766_0_000048_1_[Norwich Cathedral ] Ward and Lock s Illustrated Historical Handbook to Norwich Cathedral  etc_1890.jpg|
11115216923 |001267912_0_000164_1_Miss Blake of Monkshalton  [A novel ]_1890.jpg|
11115028335 |000044627_09_000343_1_The Aldine  O er Land and Sea   Library_1890.jpg|
11115028235 |001461218_0_000187_3_Nilfahrt  Mit     Illustrationen     von R  Mainella_1890.jpg|
11115215763 |000599740_0_000067_1_Cape Town of To Day  First  third  fourth  issue_1890.jpg|
11115027625 |000044627_29_000142_1_The Aldine  O er Land and Sea   Library_1890.jpg|
11115215573 |000497993_0_000021_1_The Story of Hollingborne  its church and its clergy  with ten illustrations_1890.jpg|
11115087474 |002687714_0_000183_1_[Travels in Mexico and Life among the Mexicans     With 190 illustrations  etc ]_1890.jpg|
11115087264 |003652261_0_000306_1_Through David s Realm     With     illustrations by the author_1890.jpg|
11115087314 |002687714_0_000530_1_[Travels in Mexico and Life among the Mexicans     With 190 illustrations  etc ]_1890.jpg|
11115086904 |001471233_0_000221_1_Hebrew Captives of the Kings of Assyria  [A novel ]_1890.jpg|
11115026195 |000599740_0_000019_1_Cape Town of To Day  First  third  fourth  issue_1890.jpg|
11115026165 |002565335_0_000081_1_Didsbury  sketches  reminiscences  and legends     With illustrations_1890.jpg|
11115068996 |001573521_0_000496_2_A thousand miles on an elephant in the Shan States  [With maps and illustrations ]_1890.jpg|
11115068456 |000928320_0_000065_1_Expedic a o portugueza ao Muatia nvua  Ethnographia e historia tradicional dos povos da Lunda     Edic a o illustrada por H  Casanova  [With plates and maps ]_1890.jpg|
11115068436 |001954648_0_000076_1_Rollica Reed  [A tale ]     Illustrated  etc_1890.jpg|
11115068106 |003984874_0_000013_1_Tossed About  or  Through strange adventures to fortune_1890.jpg|
11115067716 |000928319_04_000280_1_Expedic a o portugueza ao Muatia nvua  Descripc a o da viagem a  Mussumba do Muatia nvua     Edic a o illustrada por H  Casanova  [With plates  including portraits and maps ] vol  1 3_1890.jpg|
11115212683 |003692744_0_000043_1_Winning her Way  or  Left in Difficulties  [A tale ]_1890.jpg|
11115024685 |001699034_0_000025_1_Elrad the Hic  A romance of the Sea of Galilee_1890.jpg|
11115212433 |004014489_0_000316_1_Callvucura  y la dinasti a de los Piedra     2a  edicio n_1890.jpg|
11115084194 |003499810_0_000010_1_Personal Recollections of Minnesota and its people  and early history of Minneapolis     With biographical memoranda and letters to Col  J  H  Stevens  selected by M  Robinson_1890.jpg|
11115066626 |001977179_0_000015_1_The Way to Victory  the life story of a brave boy  Edited by J  W  K_1890.jpg|
11115066266 |003360220_0_000097_1_An Actor s Daughter  [A tale ]_1890.jpg|
11115211393 |000605981_03_000067_1_Lover or Friend _1890.jpg|
11115022965 |001275889_0_000107_1_The Folks of Fernleigh  A country chronicle_1890.jpg|
11115210493 |001493781_0_000055_1_Where to spend a Half Holiday  One hundred and eighty pleasant walks around Bradford     Illustrated_1890.jpg|
11115210473 |000241553_0_000025_2_A History of Coggeshall  in Essex  With an account of its church     and biographical sketches of its most distinguished men and ancient families  including the family of Coggeshall  etc_1890.jpg|
11115081954 |002515403_0_000708_1_Un Viaggio a Ni as     Illustrato da     incisioni     e     carte geografiche  etc_1890.jpg|
11115021715 |000566643_0_000089_1_Des Batignolles au Bosphore_1890.jpg|
11115021505 |000886231_0_000088_1_Betrayed by a Shadow  [A novel ]_1890.jpg|
11115081274 |002302126_0_000286_1_New Monkland Parish  its history  industries  and people     With numerous portraits and prints from photographs_1890.jpg|
11115020905 |003881686_05_000007_1_Weltgeschichte     Dritte verbesserte Auflage   Fortgesetzt von Dr  Richard V  Kralik  Bd  23  etc  _1890.jpg|
11115020715 |001227577_0_000051_1_The Subaltern  the Policeman and the Little Girl  An Anglo Indian sketch  etc_1890.jpg|
11115080594 |002480628_0_000015_2_Venetia anticha   Officj e Regimenti che si fa  pel Maggior Consiglio si in Venetia come in mar e  terra ferma e per tutto el suo Stado e Prima   [Compiled by F  Miari ]_1890.jpg|
11115020265 |002583258_0_000029_2_Seaton  Beer  and neighbourhood     The valley of the Axe  etc  [With illustrations ]_1890.jpg|
11115080424 |002480628_0_000033_1_Venetia anticha   Officj e Regimenti che si fa  pel Maggior Consiglio si in Venetia come in mar e  terra ferma e per tutto el suo Stado e Prima   [Compiled by F  Miari ]_1890.jpg|
11115062406 |003692744_0_000223_2_Winning her Way  or  Left in Difficulties  [A tale ]_1890.jpg|
11115079784 |002511703_0_000043_1_La  Bas [i e  in Germany] et ailleurs  Pre face de Jacques St  Ce re  Dessins de Caran d Ache  etc_1890.jpg|
11115079864 |003471490_0_000295_1_Exiles of Fortune  A tale of a far north land_1890.jpg|
11115019005 |003043134_0_000177_1_O quae Mutatio Rerum  Reminiscenzen eines alten Jenensers  etc_1890.jpg|
11115061626 |003478855_02_000205_1_Dans les Te ne bres de l Afrique  Recherche  de livrance et retraite d Emin Pacha     Contenant     gravures     et     cartes  etc_1890.jpg|
11115018925 |000078740_0_000350_1_Handbook to the Highland Railway     Season 1890  Ninth edition [of the work by G  and P  Anderson]  Revised and enlarged  By P  J  Anderson_1890.jpg|
11115078774 |003119767_0_000041_1_[The Children of the Poets  An Anthology from English and American writers of three centuries  Edited  with an introduction  by Eric S  Robertson ]_1890.jpg|
11115061026 |001215667_0_000070_1_A Fluttered Dovecote  [A novel ]     With illustrations by Gordon Browne_1890.jpg|
11115206803 |001235829_0_000037_2_Norman Reid  M  A  [A tale ]_1890.jpg|
11115206403 |001421224_0_000142_1_Songs of a Savoyard  [Lyrics from the operas by W  S  Gilbert  performed at the Savoy Theatre ]     Illustrated by the author_1890.jpg|
11115206333 |000724638_01_000207_1_Le Canton de Conflans  ses villages et ses anciens seigneurs_1890.jpg|
11115206183 |003756325_0_000152_2_Au pays de Notre Seigneur  Etudes et impressions d un pe lerin_1890.jpg|
11115059746 |001866988_0_000063_1_Jersey illustrated  etc_1890.jpg|
11115059716 |002527933_0_000243_1_Des Andes au Para  E quateur  Pe rou  Amazone     Dessins de G  Profit_1890.jpg|
11115077294 |002975378_02_000054_1_The Failure of Elisabeth  [A novel ]_1890.jpg|
11115016425 |001758521_0_000358_1_A History of Windsor Forest  Sunninghill  and the Great Park  [With illustrations ]_1890.jpg|
11115016165 |001769127_0_000428_1_Hungary  [A guide book  By several authors ] With     illustrations  etc_1890.jpg|
11115076364 |003700264_0_000076_1_[Girlhood and Womanhood  the story of some fortunes and misfortunes ]_1890.jpg|
11115076324 |002421511_0_000098_1_A Guide Book to Appleby  in Westmorland  and its vicinity_1890.jpg|
11115058146 |000129019_02_000127_1_Social England under the Regency     With     illustrations_1890.jpg|
11115015175 |000586353_0_000071_1_Our Flag  or  the Evolution of the Stars and Stripes  etc_1890.jpg|
11115203463 |004001624_0_000019_1_A Winter Tour in South Africa  etc_1890.jpg|
11115075214 |000928319_01_000245_1_Expedic a o portugueza ao Muatia nvua  Descripc a o da viagem a  Mussumba do Muatia nvua     Edic a o illustrada por H  Casanova  [With plates  including portraits and maps ] vol  1 3_1890.jpg|
11115074924 |001674305_0_000192_1_The Heart of Sheba  being the Story of a Great Queen as told in the parchment of Arnath  the Queen s brother_1890.jpg|
11115202533 |000065748_0_000245_1_A Szahara ban  Utirajzok e s tanulma nyok   35 ke ppel  _1890.jpg|
11115074004 |002754769_02_000973_1_[Storia ecclesiastica e civile della regione piu  settentrionale del Regno di Napoli  detta dagli Antichi Praetutium  ne bassi tempi Aprutium oggi Citta  di Teramo  e diocesi Aprutina ]_1890.jpg|
11115202013 |001493781_0_000052_1_Where to spend a Half Holiday  One hundred and eighty pleasant walks around Bradford     Illustrated_1890.jpg|
11115073614 |004014489_0_000105_1_Callvucura  y la dinasti a de los Piedra     2a  edicio n_1890.jpg|
11115013175 |000881067_0_000106_1_Paul Creighton  A story_1890.jpg|
11115013145 |000305730_0_000165_1_[The World s Inhabitants  or  Mankind  animals   plants     With     illustrations  etc ]_1890.jpg|
11115012735 |002390788_02_000052_1_A Scarlet Sin  [A novel ]_1890.jpg|
11115012585 |002480628_0_000033_2_Venetia anticha   Officj e Regimenti che si fa  pel Maggior Consiglio si in Venetia come in mar e  terra ferma e per tutto el suo Stado e Prima   [Compiled by F  Miari ]_1890.jpg|
11115072614 |001235125_0_000203_1_To South Africa and back  being the narrative of a journey  etc  [With plates  including a portrait ]_1890.jpg|
11115072004 |000882992_0_000007_2_Geografi a elemental de la repu blica del Salvador_1890.jpg|
11115071894 |000928320_0_000058_1_Expedic a o portugueza ao Muatia nvua  Ethnographia e historia tradicional dos povos da Lunda     Edic a o illustrada por H  Casanova  [With plates and maps ]_1890.jpg|
